"ID","Accident ID","Region Number","Corridor ID","Location (Intersection/Road/Street)","Corridor","Location- longitude/ X","Location- latitude/  Y","Mile Marker","Village","Date of Accident","Time of Accident","Type of Accident","Class of Road User","Age/DOB","Gender","Class of Vehicles Involved","Contributing Factor","Number of Persons Involved"
1,1.00,"5- Mahaica- Berbice",664,"D' Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,2/24/2012 0:00:00,12/30/1899 12:20:00,"D- Property Damage","F- Driver",35.00,,"K- Private Cars;M- Hire Cars","S- Driver's Negligence",2.00
2,2.00,"5- Mahaica- Berbice",663,"Cotton Three Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5500","6.2833",,,3/8/2012 0:00:00,12/30/1899 21:00:00,"D- Property Damage","F- Driver",41.00,"Male","J- Minibus;K- Private Cars","S- Driver's Negligence",2.00
3,3.00,"5- Mahaica- Berbice",655,"Rosignol Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5667","6.3333",,,3/17/2012 0:00:00,12/30/1899 17:00:00,"C- Minor Injury","G- Rider",38.00,"Female","W-Pedal Cycle","T-Pedestrian's Negligence",2.00
4,4.00,"5- Mahaica- Berbice",664,"D' Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,3/17/2012 0:00:00,12/30/1899 18:10:00,"B- Serious Injury","E- Pedestrian;G- Rider;I- Pillion Rider",20.00,"Female","V-Motor Cycle","P- Speeding",3.00
5,5.00,"5- Mahaica- Berbice",655,"Rosignol Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5667","6.3333",,,3/22/2012 0:00:00,12/30/1899 18:10:00,"D- Property Damage","F- Driver",43.00,"Male","N- Pickup;W-Pedal Cycle","U- Cyclist's Negligence",2.00
6,6.00,"5- Mahaica- Berbice",655,"Rosignol Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5667","6.3333",,,3/25/2012 0:00:00,,"D- Property Damage","G- Rider",15.00,"Male","W-Pedal Cycle","U- Cyclist's Negligence",2.00
7,7.00,"5- Mahaica- Berbice",664,"D' Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,4/19/2012 0:00:00,,"C- Minor Injury;D- Property Damage","F- Driver;G- Rider",18.00,"Female","J- Minibus;W-Pedal Cycle","U- Cyclist's Negligence",2.00
8,8.00,"5- Mahaica- Berbice",663,"Cotton Three Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5500","6.2833",,,5/13/2012 0:00:00,12/30/1899 22:30:00,"A- Fatal","F- Driver",25.00,"Female","K- Private Cars","P- Speeding",3.00
9,9.00,"5- Mahaica- Berbice",664,"D' Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,5/26/2012 0:00:00,12/30/1899 11:41:00,"D- Property Damage","F- Driver",26.00,"Male","K- Private Cars;N- Pickup","P- Speeding",2.00
10,10.00,"5- Mahaica- Berbice",669,"# 3 Blairmont Public Road","LEFT BANK BERBICE RIVER (From Georgetown)","-57.4833","6.2500",,,6/5/2012 0:00:00,12/30/1899 17:10:00,"C- Minor Injury","E- Pedestrian;F- Driver",25.00,"Female","M- Hire Cars","T-Pedestrian's Negligence",2.00
11,11.00,"5- Mahaica- Berbice",664,"D' Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,6/16/2012 0:00:00,12/30/1899 10:45:00,"D- Property Damage","F- Driver",44.00,"Male","K- Private Cars;M- Hire Cars","S- Driver's Negligence",2.00
12,12.00,"5- Mahaica- Berbice",655,"Rosignol Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5667","6.3333",,,6/19/2012 0:00:00,12/30/1899 17:30:00,"C- Minor Injury","E- Pedestrian;G- Rider",27.00,"Male","W-Pedal Cycle","U- Cyclist's Negligence",2.00
13,13.00,"5- Mahaica- Berbice",669,"# 2 Public Road","LEFT BANK BERBICE RIVER (From Georgetown)","-57.4833","6.2500",,,7/9/2012 0:00:00,12/30/1899 9:45:00,"D- Property Damage","F- Driver",32.00,"Male","K- Private Cars","P- Speeding",2.00
14,14.00,"5- Mahaica- Berbice",672,"Blairmonth Public Road","LEFT BANK BERBICE RIVER (From Georgetown)","-57.5500","6.2500",,,7/10/2012 0:00:00,12/30/1899 7:05:00,"D- Property Damage","F- Driver;G- Rider",38.00,"Male","V-Motor Cycle;X-Tractor","U- Cyclist's Negligence",2.00
15,15.00,"5- Mahaica- Berbice",655,"Rosignol Access Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5667","6.3333",,,7/12/2012 0:00:00,12/30/1899 19:00:00,"D- Property Damage","F- Driver",13.00,"Male","K- Private Cars","S- Driver's Negligence",2.00
16,16.00,"5- Mahaica- Berbice",655,"Rosignol Carriage Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5667","6.3333",,,7/26/2012 0:00:00,12/30/1899 10:45:00,"D- Property Damage","F- Driver",36.00,"Male","J- Minibus;N- Pickup","U- Cyclist's Negligence",2.00
17,17.00,"5- Mahaica- Berbice",672,"Blairmonth Public Road","LEFT BANK BERBICE RIVER (From Georgetown)","-57.5500","6.2500",,,8/12/2012 0:00:00,12/30/1899 20:00:00,"C- Minor Injury","G- Rider",38.00,"Male","V-Motor Cycle;W-Pedal Cycle","U- Cyclist's Negligence",2.00
18,18.00,"5- Mahaica- Berbice",664,"D' Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,9/5/2012 0:00:00,,"D- Property Damage","F- Driver",,"Male","M- Hire Cars","P- Speeding",1.00
19,19.00,"5- Mahaica- Berbice",672,"Blairmonth Public Road","LEFT BANK BERBICE RIVER (From Georgetown)","-57.5500","6.2500",,,9/13/2012 0:00:00,12/30/1899 16:15:00,"D- Property Damage","F- Driver",29.00,"Male","K- Private Cars;V-Motor Cycle","U- Cyclist's Negligence",2.00
20,20.00,"5- Mahaica- Berbice",664,"D' Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,9/15/2012 0:00:00,12/30/1899 8:30:00,"D- Property Damage","F- Driver",61.00,"Male","J- Minibus;K- Private Cars;N- Pickup","P- Speeding",3.00
21,21.00,"5- Mahaica- Berbice",670,"No. 4 Village Public Road","LEFT BANK BERBICE RIVER (From Georgetown)","-57.5500","6.2667",,,9/23/2012 0:00:00,12/30/1899 19:30:00,,"E- Pedestrian",11.00,,"M- Hire Cars","S- Driver's Negligence",2.00
22,22.00,"5- Mahaica- Berbice",670,"No. 4 Village Public Road","LEFT BANK BERBICE RIVER (From Georgetown)","-57.5500","6.2667",,,10/14/2012 0:00:00,12/30/1899 10:30:00,"B- Serious Injury","F- Driver",39.00,"Male","J- Minibus","T-Pedestrian's Negligence",2.00
23,23.00,"5- Mahaica- Berbice",663,"Cotton Tree Village Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5500","6.2833",,,10/26/2012 0:00:00,12/30/1899 6:00:00,"D- Property Damage","F- Driver",33.00,"Male","K- Private Cars","Y-Animal",1.00
24,24.00,"5- Mahaica- Berbice",663,"Cotton Tree Village Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5500","6.2833",,,10/14/2012 0:00:00,12/30/1899 9:50:00,"C- Minor Injury","F- Driver",37.00,"Female","K- Private Cars;W-Pedal Cycle","T-Pedestrian's Negligence",2.00
25,25.00,"5- Mahaica- Berbice",665,"Rosignol Village","WEST COAST BERBICE ROAD (From Georgetown)","-57.5500","6.3000",,,12/4/2012 0:00:00,12/30/1899 18:30:00,"C- Minor Injury","F- Driver",24.00,"Male","K- Private Cars;W-Pedal Cycle","U- Cyclist's Negligence",2.00
26,26.00,"5- Mahaica- Berbice",670,"No. 4 Public Road","LEFT BANK BERBICE RIVER (From Georgetown)","-57.5500","6.2667",,,12/11/2012 0:00:00,12/30/1899 10:15:00,"D- Property Damage","F- Driver",40.00,"Male","J- Minibus","S- Driver's Negligence",2.00
27,27.00,"5- Mahaica- Berbice",664,"D' Edward Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,12/16/2012 0:00:00,12/30/1899 7:30:00,"D- Property Damage","F- Driver",,"Male","K- Private Cars;W-Pedal Cycle","R- Improper Overtaking",1.00
28,28.00,"5- Mahaica- Berbice",655,"Rosignol Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5667","6.3333",,,12/25/2012 0:00:00,12/30/1899 23:00:00,"D- Property Damage","G- Rider",25.00,"Male","K- Private Cars;W-Pedal Cycle","P- Speeding",2.00
29,29.00,"5- Mahaica- Berbice",664,"De Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,1/15/2011 0:00:00,12/30/1899 19:00:00,"D- Property Damage","F- Driver",41.00,"Male","K- Private Cars","S- Driver's Negligence",1.00
30,30.00,"5- Mahaica- Berbice",664,"De Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,1/11/2011 0:00:00,12/30/1899 23:45:00,"B- Serious Injury","G- Rider",35.00,"Male","V-Motor Cycle;W-Pedal Cycle","U- Cyclist's Negligence",2.00
31,31.00,"5- Mahaica- Berbice",664,"De Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,2/4/2011 0:00:00,12/30/1899 8:05:00,"A- Fatal",,,"Male","L- Lorries Van;W-Pedal Cycle","P- Speeding",2.00
32,32.00,"5- Mahaica- Berbice",663,"Cotton Tree Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5500","6.2833",,,2/11/2011 0:00:00,12/30/1899 17:25:00,"B- Serious Injury","G- Rider",25.00,"Male","J- Minibus;W-Pedal Cycle","O- Lost Control & Runoff",1.00
33,33.00,"5- Mahaica- Berbice",664,"De Edwards Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,3/16/2011 0:00:00,12/30/1899 9:30:00,"C- Minor Injury","G- Rider",42.00,"Male","M- Hire Cars;W-Pedal Cycle","U- Cyclist's Negligence",2.00
34,34.00,"5- Mahaica- Berbice",663,"Cotton Tree Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5500","6.2833",,,3/20/2011 0:00:00,12/30/1899 9:30:00,"C- Minor Injury","G- Rider",32.00,"Female","K- Private Cars;W-Pedal Cycle","U- Cyclist's Negligence",2.00
35,35.00,"5- Mahaica- Berbice",699,"#3 Public Road","RIGHT BANK BERBICE RIVER (From New Amsterdam)","-57.6333","6.1667",,,3/24/2011 0:00:00,12/30/1899 16:00:00,"C- Minor Injury","F- Driver",35.00,"Male","J- Minibus;L- Lorries Van","P- Speeding",2.00
36,36.00,"5- Mahaica- Berbice",664,"De Edward Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,4/16/2011 0:00:00,12/30/1899 16:45:00,"C- Minor Injury","F- Driver",21.00,"Male","J- Minibus;W-Pedal Cycle","Q- Alcohol",2.00
37,37.00,"5- Mahaica- Berbice",664,"De Edward Public Road","WEST COAST BERBICE ROAD (From Georgetown)","-57.5333","6.2833",,,4/23/2011 0:00:00,12/30/1899 10:30:00,"D- Property Damage","E- Pedestrian",33.00,"Male","K- Private Cars;L- Lorries Van","S- Driver's Negligence",2.00
