"code","manufacturer","category","creation_date","promised_date","need_by_date","transaction_date","qty_recv","unit_cost","total"
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-31,2018-07-31,2018-08-01,4320,704,3041280
"FDC","SAMSUNG","PHONE",2018-07-12,2018-07-30,2018-07-30,2018-08-01,4315,409,1764835
"FDC","SAMSUNG","PHONE",2018-07-10,2018-08-01,2018-08-01,2018-08-01,6720,704,4730880
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-31,2018-07-31,2018-08-01,2250,675,1518750
"FDC","SAMSUNG","PHONE",2018-07-10,2018-08-01,2018-08-01,2018-08-01,900,675,607500
"FDC","SAMSUNG","PHONE",2018-07-10,2018-08-01,2018-08-01,2018-08-01,1350,675,911250
"FDC","SAMSUNG","PHONE",2018-07-11,2018-07-31,2018-07-31,2018-08-01,6240,704,4392960
"FDC","SAMSUNG","GOPHONE",2018-07-10,2018-08-01,2018-08-01,2018-08-01,1296,144.4,187142.4
"FDC","SAMSUNG","PHONE",2018-07-10,2018-08-01,2018-08-01,2018-08-01,4800,816,3916800
"FDC","SAMSUNG","ELECTRONIC",2018-06-13,2018-07-31,2018-07-31,2018-08-01,840,339.99,285591.6
"FDC","SAMSUNG","PHONE",2018-07-10,2018-08-01,2018-08-01,2018-08-01,5040,765,3855600
"FDC","SAMSUNG","PHONE",2018-07-10,2018-08-01,2018-08-01,2018-08-01,5040,195.36,984614.4
"FDC","SAMSUNG","PHONE",2018-07-10,2018-08-01,2018-08-01,2018-08-01,3150,765,2409750
"FDC","SAMSUNG","PHONE",2018-07-10,2018-08-01,2018-08-01,2018-08-01,5040,195.36,984614.4
"FDC","SAMSUNG","PHONE",2018-07-24,2018-08-01,2018-08-01,2018-08-02,450,591,265950
"FDC","SAMSUNG","PHONE",2018-07-10,2018-08-01,2018-08-01,2018-08-02,4500,591,2659500
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-31,2018-07-31,2018-08-02,960,704,675840
"FDC","SAMSUNG","COMPUTER",2018-06-13,2018-07-31,2018-07-31,2018-08-02,6120,189,1156680
"FDC","SAMSUNG","PHONE",2018-06-13,2018-06-29,2018-06-29,2018-07-02,5280,816,4308480
"FDC","SAMSUNG","PHONE",2018-06-06,2018-06-29,2018-06-29,2018-07-03,4410,170,749700
"FDC","TCT MOBILE US INC","PHONE",2018-06-21,2018-06-26,2018-06-26,2018-07-03,600,450,270000
"FDC","LG ELECTRONICS","GOPHONE",2018-06-13,2018-06-26,2018-06-26,2018-07-06,4320,99.99,431956.8
"FDC","LG ELECTRONICS","GOPHONE",2018-06-13,2018-06-26,2018-06-26,2018-07-06,3456,99.99,345565.44
"FDC","LG ELECTRONICS","PHONE",2018-04-27,2018-06-27,2018-06-27,2018-07-06,630,291.24,183481.2
"FDC","LG ELECTRONICS","GOPHONE",2018-06-13,2018-06-26,2018-06-26,2018-07-06,4320,47.99,207316.8
"FDC","LG ELECTRONICS","GOPHONE",2018-06-05,2018-06-26,2018-06-26,2018-07-06,864,47.99,41463.36
"FDC","SAMSUNG","PHONE",2018-06-14,2018-07-06,2018-07-06,2018-07-06,12585,130,1636050
"FDC","SAMSUNG","PHONE",2018-07-05,2018-07-13,2018-07-13,2018-07-13,3660,704,2576640
"FDC","TCT MOBILE US INC","PHONE",2018-05-31,2018-07-18,2018-07-18,2018-07-13,3600,52.45,188820
"FDC","MOTOROLA","PHONE",2018-06-19,2018-06-25,2018-06-25,2018-07-16,5040,135,680400
"FDC","SAMSUNG","PHONE",2018-06-13,2018-07-17,2018-07-17,2018-07-17,470,816.38,383698.6
"FDC","SAMSUNG","PHONE",2018-06-28,2018-07-20,2018-07-20,2018-07-17,480,704,337920
"FDC","SAMSUNG","PHONE",2018-06-28,2018-07-20,2018-07-20,2018-07-17,1440,704,1013760
"FDC","SAMSUNG","PHONE",2018-06-28,2018-07-20,2018-07-20,2018-07-18,1100,704,774400
"FDC","SAMSUNG","PHONE",2018-06-28,2018-07-20,2018-07-20,2018-07-18,4320,409,1766880
"FDC","SAMSUNG","PHONE",2018-07-05,2018-07-20,2018-07-20,2018-07-18,180,816,146880
"FDC","SAMSUNG","PHONE",2018-06-28,2018-07-20,2018-07-20,2018-07-18,1895,816,1546320
"FDC","TCT MOBILE US INC","GOPHONE",2018-05-03,2018-07-18,2018-07-18,2018-07-18,4320,87,375840
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-19,3370,816,2749920
"FDC","SAMSUNG","PHONE",2018-07-05,2018-07-20,2018-07-20,2018-07-19,4620,816,3769920
"FDC","SAMSUNG","PHONE",2018-07-05,2018-07-20,2018-07-20,2018-07-20,3150,765,2409750
"FDC","SAMSUNG","ELECTRONIC",2018-06-13,2018-07-20,2018-07-20,2018-07-20,450,339.99,152995.5
"FDC","SAMSUNG","ELECTRONIC",2018-06-13,2018-07-20,2018-07-20,2018-07-20,445,339.99,151295.55
"FDC","SAMSUNG","PHONE",2018-07-05,2018-07-20,2018-07-20,2018-07-20,1885,765,1442025
"FDC","SAMSUNG","GOPHONE",2018-06-28,2018-07-20,2018-07-20,2018-07-20,9465,144.4,1366746
"FDC","SAMSUNG","COMPUTER",2018-06-13,2018-07-20,2018-07-20,2018-07-20,5760,189,1088640
"FDC","SAMSUNG","PHONE",2018-06-28,2018-07-20,2018-07-20,2018-07-20,4050,591,2393550
"FDC","SAMSUNG","PHONE",2018-06-28,2018-07-20,2018-07-20,2018-07-20,2425,816,1978800
"FDC","SAMSUNG","PHONE",2018-06-28,2018-07-20,2018-07-20,2018-07-20,5620,704,3956480
"FDC","TCT MOBILE US INC","PHONE",2018-05-31,2018-07-18,2018-07-18,2018-07-23,11520,52.45,604224
"FDC","TCT MOBILE US INC","GOPHONE",2018-05-03,2018-07-18,2018-07-18,2018-07-24,4320,87,375840
"FDC","LG ELECTRONICS","PHONE",2018-07-04,2018-07-24,2018-07-24,2018-07-24,630,131.47,82826.1
"FDC","LG ELECTRONICS","GOPHONE",2018-06-28,2018-07-24,2018-07-24,2018-07-24,2520,129.99,327574.8
"FDC","LG ELECTRONICS","GOPHONE",2018-06-28,2018-07-24,2018-07-24,2018-07-24,5040,129.99,655149.6
"FDC","LG ELECTRONICS","PHONE",2018-06-28,2018-07-24,2018-07-24,2018-07-24,1890,131.47,248478.3
"FDC","SAMSUNG","COMPUTER",2018-06-28,2018-07-25,2018-07-25,2018-07-24,1225,189,231525
"FDC","SAMSUNG","PHONE",2018-07-05,2018-07-23,2018-07-23,2018-07-24,1350,675,911250
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-24,2018-07-24,2018-07-24,4980,704,3505920
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-25,6720,704,4730880
"FDC","LG ELECTRONICS","GOPHONE",2018-06-19,2018-06-29,2018-06-29,2018-07-25,2592,99.99,259174.08
"FDC","LG ELECTRONICS","PHONE",2018-06-28,2018-07-24,2018-07-24,2018-07-25,630,799.99,503993.7
"FDC","SAMSUNG","COMPUTER",2018-06-28,2018-07-25,2018-07-25,2018-07-25,375,189,70875
"FDC","SAMSUNG","GOPHONE",2018-06-28,2018-07-25,2018-07-25,2018-07-25,9465,144.4,1366746
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-25,2880,816,2350080
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-25,3150,865,2724750
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-25,1260,765,963900
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-25,3780,765,2891700
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-25,5760,816,4700160
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-25,5760,816,4700160
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-25,4800,816,3916800
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-25,1920,704,1351680
"FDC","SAMSUNG","ELECTRONIC",2018-06-13,2018-07-25,2018-07-25,2018-07-26,500,185,92500
"FDC","SAMSUNG","ELECTRONIC",2018-06-13,2018-07-27,2018-07-27,2018-07-26,900,339.99,305991
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-26,6240,704,4392960
"FDC","SAMSUNG","GOPHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-26,2160,144.4,311904
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-26,6720,704,4730880
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-24,2018-07-24,2018-07-26,1430,816,1166880
"FDC","LG ELECTRONICS","GOPHONE",2018-06-28,2018-07-24,2018-07-24,2018-07-27,2520,129.99,327574.8
"FDC","LG ELECTRONICS","PHONE",2018-04-27,2018-07-24,2018-07-24,2018-07-27,2520,291.24,733924.8
"FDC","SAMSUNG","PHONE",2018-07-05,2018-07-25,2018-07-25,2018-07-27,5400,409,2208600
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-25,2018-07-25,2018-07-27,4050,591,2393550
"FDC","TCT MOBILE US INC","PHONE",2018-05-31,2018-07-23,2018-07-23,2018-07-30,12240,52.45,641988
"FDC","SAMSUNG","COMPUTER",2018-06-28,2018-07-25,2018-07-25,2018-07-30,560,189,105840
"FDC","SAMSUNG","PHONE",2018-07-10,2018-07-31,2018-07-31,2018-07-30,5280,816,4308480
"FDC","LG ELECTRONICS","GOPHONE",2018-06-19,2018-06-29,2018-06-29,2018-07-30,4320,99.99,431956.8
"FDC","LG ELECTRONICS","GOPHONE",2018-06-19,2018-06-29,2018-06-29,2018-07-30,1728,99.99,172782.72
